factor,family,label,full_n_sessions,full_avg_names,full_mean_ic,full_t_stat,full_ic_pos_pct,early_ic,late_ic,early_n,late_n,sp_n_sessions,sp_top_pct,sp_bot_pct,sp_spread_pct,sp_spread_t,sp_spread_net_pct,verdict
pcr,Derivatives,put/call ratio,270,210,0.03329901947072324,5.743151400972858,63.70370370370371,0.037612701509496485,0.02340911430865774,188,82,270,0.17782028639753453,-0.05448546809202836,0.23230575448956284,3.8400604199502095,-0.16769424551043718,"**CONSISTENT — same sign both folds, |t| >= 2**"
skew_slope,Derivatives,skew slope,270,210,0.04020494056886407,5.131003475944267,62.22222222222222,0.04722536050896091,0.024109343633032288,188,82,270,0.17450471222057556,-0.0859838256399766,0.2604885378605522,3.297170560954924,-0.13951146213944782,"**CONSISTENT — same sign both folds, |t| >= 2**"
delivery_pct_ratio_20d,Volume,delivery % vs 20d,251,209,0.02128316343812251,3.808144538597454,60.1593625498008,0.029515244859405078,0.004317044411332826,169,82,251,0.18929035797152713,-0.0004943162405944007,0.18978467421212156,2.856268919596187,-0.21021532578787847,"**CONSISTENT — same sign both folds, |t| >= 2**"
pct_from_52w_low,Price,% from 52w low,182,207,0.03335658999600258,2.973240777345563,56.59340659340659,0.06523996420486157,-0.005525573673337664,100,82,182,0.273305821061192,0.061964987587214644,0.2113408334739774,1.6196646001329063,-0.18865916652602263,**OVERFIT RISK — sign flips between folds**
rsi14,Price,RSI(14),257,209,0.026403138632580314,2.722556627379547,56.42023346303502,0.037749163045340546,0.0021890621419334653,175,82,257,0.25951435760654745,0.10308764201983722,0.1564267155867102,1.4968112737639743,-0.24357328441328982,"**CONSISTENT — same sign both folds, |t| >= 2**"
delivery_pct,Volume,delivery %,270,210,0.0229432988358569,2.5902311678765573,55.18518518518518,0.032494189912889174,0.001046133927538988,188,82,270,0.11016165122496649,-7.699769971823032e-06,0.1101693509949383,1.3387447239714116,-0.2898306490050617,"**CONSISTENT — same sign both folds, |t| >= 2**"
pct_from_52w_high,Price,% from 52w high,182,207,0.032767611991843276,2.4179826135422813,53.84615384615385,0.064392830943597,-0.00579972819322226,100,82,182,0.15930442912255918,0.09866777441511435,0.06063665470744476,0.38991178140234006,-0.33936334529255524,**OVERFIT RISK — sign flips between folds**
dma50_gap,Price,close vs 50DMA %,222,208,0.026093999497405727,2.2254972742102397,53.6036036036036,0.037240888008995957,0.007062726428837039,140,82,222,0.2918078596848938,0.11422635269073358,0.17758150699416025,1.3455640667831574,-0.22241849300583977,"**CONSISTENT — same sign both folds, |t| >= 2**"
gex_intensity,Derivatives,GEX intensity,270,210,-0.015599103209013834,-2.206792300445446,41.85185185185185,-0.004931596580821547,-0.040056313527308346,188,82,270,-0.016624183251591217,0.22627004317736277,-0.24289422642895397,-3.247140985994752,-0.642894226428954,"**CONSISTENT — same sign both folds, |t| >= 2**"
roc_63d,Returns,63d rate of change,208,207,0.023465894784248525,1.9294605263160374,51.92307692307693,0.04076460574025479,-0.003115051318883063,126,82,208,0.32290925046011476,0.30911706439636377,0.013792186063750945,0.10023706214769038,-0.3862078139362491,**OVERFIT RISK — sign flips between folds**
net_inv_shift,Derivatives,net inventory shift,270,210,0.01025823342632123,1.9214021874910419,52.59259259259259,0.011422883481818379,0.007588060128352159,188,82,270,0.0942161288477925,0.06009477628995657,0.034121352557835896,0.5596187818978037,-0.36587864744216414,no signal (|t| < 2)
gex_shift,Derivatives,GEX shift,270,210,-0.010616176783879995,-1.9177443193492179,47.03703703703704,-0.008567424546736188,-0.015313316059282883,188,82,270,0.05330566490724344,0.05558981982923087,-0.0022841549219874283,-0.04029554357525676,-0.40228415492198744,no signal (|t| < 2)
money_flow_20d,Volume,20d money flow,252,209,0.013802349745766869,1.8547721136693025,54.36507936507936,0.019333083552773047,0.0023361942922174718,170,82,252,0.12253347169072978,0.12527974247777066,-0.0027462707870409132,-0.03519949764525287,-0.40274627078704095,no signal (|t| < 2)
dma20_gap,Price,close vs 20DMA %,252,209,0.017431700598688024,1.842312896658553,54.761904761904766,0.029328771025922882,-0.007232957604115952,170,82,252,0.33083726337277636,0.049727189668975054,0.28111007370380126,2.543782958762742,-0.11888992629619877,**OVERFIT RISK — sign flips between folds**
iv,Derivatives,implied vol,270,210,-0.019263101516327458,-1.697914776005176,49.25925925925926,-0.037779082698412736,0.023188172413331473,188,82,270,0.08505042457552335,0.013164509928856594,0.07188591464666677,0.6432019879321795,-0.32811408535333325,**OVERFIT RISK — sign flips between folds**
roc_20d,Returns,20d rate of change,251,209,0.016988113072916096,1.6783859647968251,53.38645418326693,0.028802821988555646,-0.007361713838584917,169,82,251,0.2679093520626392,0.1682050091546221,0.09970434290801702,0.8886321768982193,-0.300295657091983,**OVERFIT RISK — sign flips between folds**
priority_score,Derivatives,priority score,270,210,-0.007160591979138781,-1.1431616197771488,46.2962962962963,0.0025697177692318852,-0.02946910701198861,188,82,270,0.004268200352587563,0.16209856938137843,-0.15783036902879088,-2.2070532915631915,-0.5578303690287909,**OVERFIT RISK — sign flips between folds**
deliverable_vol_ratio_20d,Volume,deliverable vol vs 20d,251,209,0.005720577751461372,1.0502984735372287,51.79282868525896,0.004200314661868016,0.008853802899525733,169,82,251,0.13248876277485724,0.07855445180677202,0.05393431096808525,0.8770799879118218,-0.34606568903191476,no signal (|t| < 2)
spot_change_pct,Returns,1d change %,270,210,-0.007455039238580563,-0.9960526145714834,46.2962962962963,-0.005753324949795354,-0.011356530534819834,188,82,270,0.11456497809711867,0.11807574161101023,-0.0035107635138915353,-0.041970534965307324,-0.40351076351389153,no signal (|t| < 2)
roc_5d,Returns,5d rate of change,266,210,0.005559946781298223,0.7050603965415659,53.00751879699248,0.00826322567444667,-0.0005059473204007183,184,82,266,0.1687331508870246,-0.035222398840049046,0.2039555497270736,2.251783233232135,-0.1960444502729264,**OVERFIT RISK — sign flips between folds**
conviction_score,Derivatives,conviction score,270,210,-0.0044442199027944045,-0.6931199098716404,45.18518518518518,0.006626415043204976,-0.029825675632646643,188,82,270,0.09136642520535775,0.1762248062251972,-0.08485838101983954,-1.1208153542591666,-0.4848583810198396,**OVERFIT RISK — sign flips between folds**
natr14,Price,normalized ATR(14),257,209,-0.00740229990157419,-0.6648045701484054,53.69649805447471,-0.024100826848842634,0.028234800290766988,175,82,257,0.22039563472257762,0.028676403742005543,0.1917192309805721,1.6528795210076184,-0.20828076901942794,**OVERFIT RISK — sign flips between folds**
iv_shift,Derivatives,IV shift,270,210,0.0036675271755817894,0.6382780467807232,50.0,0.0053785119746329185,-0.00025521846126714214,188,82,270,0.07475187567640147,0.011482814995525014,0.06326906068087643,0.9757928610000189,-0.33673093931912357,**OVERFIT RISK — sign flips between folds**
iv_rank,Derivatives,IV rank,268,210,-0.0022365314482062364,-0.4012947717091106,46.26865671641791,-0.008287255902660207,0.011488282558238142,186,82,268,-0.005212971077898794,0.013374788422383403,-0.01858775950028217,-0.24362749121778146,-0.4185877595002822,**OVERFIT RISK — sign flips between folds**
volume_ratio_20d,Volume,volume vs 20d avg,252,209,-0.0013603793868358328,-0.23317423477388372,50.39682539682539,-0.005675340197804794,0.007585271074929091,170,82,252,0.13559102727297137,0.08463379670301291,0.05095723056995847,0.8049894625604864,-0.34904276943004153,**OVERFIT RISK — sign flips between folds**
ifs_score,Derivatives,IFS score,270,210,-0.0009322971941559633,-0.16092441206468586,46.666666666666664,0.0006931898270710436,-0.00465902353550569,188,82,270,0.06467492094189822,0.08816361554039076,-0.02348869459849257,-0.3577059515024423,-0.4234886945984926,**OVERFIT RISK — sign flips between folds**
futures_oi_chg_pct,Derivatives,futures OI change %,270,210,-0.000466813840143128,-0.086714542713336,50.74074074074074,-0.001058337240423608,0.000889361760499926,188,82,270,0.04398037261142757,0.05891564149649102,-0.014935268885063392,-0.2550170300343528,-0.41493526888506344,**OVERFIT RISK — sign flips between folds**
