date,symbol,sector,day_return_pct,intraday_return_pct,range_pct,open,high,low,close,volume,prev_setup_types,setup_types,prev_gamma_regime,gamma_regime,prev_structural_bias,structural_bias,prev_ifs_score,ifs_score,prev_ml_breakout_prob,ml_breakout_prob,prev_net_inv_shift,net_inv_shift,prev_gex_shift,gex_shift,prev_iv_shift,iv_shift,trend_ret20_pct,trend_rs20_pct
2025-06-26,TIINDIA,NIFTY AUTO,5.220222673482255,4.205963938973656,5.440033606385208,2884.0,3012.0,2856.6,3005.3,1595455,,REGIME_SHIFT|PINCH_ZONE,,TRANSITION_REGIME,,Expansion,,19.6,,49.2,,218600.0,,-6778.8887101653545,,-0.48452884700008636,,
2025-06-26,HINDCOPPER,Other,4.9610369570249,4.365170694284615,6.251212603313805,260.7,273.82,257.71,272.08,15247596,,,,TRANSITION_REGIME,,Expansion,,-51.8,,56.2,,-1089150.0,,-287596.954145474,,-0.43089624478812966,,
2025-06-26,DALBHARAT,NIFTY COMMODITIES,4.660490879572166,4.421152929966654,4.780078236809482,2099.0,2196.4,2096.2,2191.8,727820,,,,TRANSITION_REGIME,,Expansion,,0.0,,51.0,,-136050.0,,-9178.718326439146,,-0.5501148397443598,,
2025-06-26,SAIL,NIFTY METAL,4.1790113831280395,3.6617532971295663,4.26392779333955,128.9,134.0,128.52,133.62,24148009,,IV_SKEW_ACCUMULATION,,TRANSITION_REGIME,,Expansion,,100.0,,49.2,,6434900.0,,-32049.002500026545,,-0.3849217042914533,,
2025-06-26,SHRIRAMFIN,NIFTY FIN SERVICE,4.162346319063848,4.154632303932471,4.938820912124586,675.15,707.55,674.25,703.2,19068571,,,,TRANSITION_REGIME,,Expansion,,61.9,,49.2,,1064400.0,,-59390.725666397106,,-0.3492256903032763,,
2025-06-26,JINDALSTEL,NIFTY METAL,3.8047613871073027,3.2882639264467217,4.082519001085783,924.5,958.6,921.0,954.9,2568931,,,,TRANSITION_REGIME,,Expansion,,27.1,,56.2,,403750.0,,8795.125734536057,,-0.3192910603047226,,
2025-06-26,SHREECEM,NIFTY COMMODITIES,3.5425623387790095,3.347064881565398,3.501544799176104,29130.0,30150.0,29130.0,30105.0,98924,,REGIME_SHIFT,,TRANSITION_REGIME,,Expansion,,8.2,,49.2,,21875.0,,-3252.4288392547246,,-0.3779719491492076,,
2025-06-26,BPCL,NIFTY OIL & GAS,3.1758448060074995,3.4185353614552216,3.8105692331817487,318.85,331.0,318.85,329.75,15528180,,IV_SKEW_ACCUMULATION,,LONG_GAMMA,,Expansion,,100.0,,49.2,,4454825.0,,-242419.1923868914,,-0.33907001946485327,,
2025-06-26,VEDL,NIFTY METAL,3.0659576875212258,2.8216704288938965,3.5928822396010585,443.0,457.0,441.15,455.5,10412097,,,,TRANSITION_REGIME,,Expansion,,100.0,,47.8,,4069850.0,,-96555.33444825222,,-0.3175947004843086,,
2025-06-26,JSL,Other,3.0359263657957047,3.0359263657957047,3.9821693907875044,673.6,699.8,673.0,694.05,1859912,,PINCH_ZONE|IV_SKEW_ACCUMULATION,,TRANSITION_REGIME,,Expansion,,15.9,,47.8,,217475.0,,-18590.10155718609,,-0.5227140344538119,,
2025-06-27,ATGL,Other,5.716056076214104,5.31635802469137,7.116393948749611,648.0,693.9,647.8,682.45,11651442,IV_SKEW_ACCUMULATION,REGIME_SHIFT|INVENTORY_MIGRATION,TRANSITION_REGIME,TRANSITION_REGIME,Dealer Controlled,Expansion,11.0,-42.5,44.0,57.9,165950.0,-991375.0,-54194.77123865219,39164.084127696755,-0.33695613316967055,0.21459946382028605,,
2025-06-27,MGL,Other,4.47101098749223,4.47101098749223,5.924845453914007,1447.1,1525.0,1439.7,1511.8,1986072,VOLATILITY_COIL,INVENTORY_MIGRATION,TRANSITION_REGIME,TRANSITION_REGIME,Compression,Expansion,14.2,-22.3,42.1,62.9,287600.0,-563200.0,-79022.36403660214,26093.67278887291,-0.4194956939880476,0.1860215505632638,,
2025-06-27,HINDPETRO,NIFTY OIL & GAS,4.449202950273601,4.287920180544003,4.970795088806779,420.95,440.3,419.45,439.0,15352970,REGIME_SHIFT|PINCH_ZONE,INVENTORY_MIGRATION|IV_SKEW_ACCUMULATION,TRANSITION_REGIME,TRANSITION_REGIME,Expansion,Expansion,58.2,100.0,47.1,61.3,1081350.0,2379375.0,-446600.8395168507,-38162.175174810516,-0.4211812580053458,0.14331199614652934,,
2025-06-27,TORNTPHARM,NIFTY PHARMA,3.689681923972077,-0.25671641791044086,2.738059020383332,3350.0,3377.0,3287.0,3341.4,1739609,VOLATILITY_COIL|REGIME_SHIFT|IV_SKEW_ACCUMULATION,INVENTORY_MIGRATION|IV_SKEW_ACCUMULATION,TRANSITION_REGIME,TRANSITION_REGIME,Compression,Expansion,2.9,3.7,41.5,57.9,62750.0,-40500.0,-18861.476572915344,1121.2969472804361,-0.3968417943609831,0.15887508201711012,,
2025-06-27,JIOFIN,NIFTY FIN SERVICE,3.503999999999996,2.9767589939509564,5.258110915774328,314.1,329.3,312.85,323.45,60666211,FLOOR_BOUNCE|REGIME_SHIFT|IV_SKEW_ACCUMULATION,INVENTORY_MIGRATION|IV_SKEW_ACCUMULATION,LONG_GAMMA,LONG_GAMMA,Expansion,Expansion,100.0,-100.0,47.8,60.7,9804550.0,-2902250.0,-1122568.9523552272,164748.2633409624,-0.2746957844824508,0.15258260269782675,,
2025-06-27,BDL,NIFTY INFRA,3.4367646254035877,3.008338329064242,4.361626443386424,1834.9,1907.0,1827.3,1890.1,3184051,PINCH_ZONE,REGIME_SHIFT|PINCH_ZONE,TRANSITION_REGIME,TRANSITION_REGIME,Support Building,Expansion,24.5,8.0,42.1,57.9,448500.0,54925.0,5037.350712820022,11922.636238797964,-0.5579203933284881,0.169528901554094,,
2025-06-27,LAURUSLABS,NIFTY PHARMA,3.1527890056588515,2.752562225475841,3.771916899955774,683.0,704.3,678.7,701.8,3178596,REGIME_SHIFT|IV_SKEW_ACCUMULATION,INVENTORY_MIGRATION,TRANSITION_REGIME,TRANSITION_REGIME,Flip Zone,Expansion,66.2,21.5,49.5,61.3,1229100.0,316200.0,-100971.27403441348,19825.535202728854,-0.4025309281412665,0.16416224425771558,,
2025-06-27,SHREECEM,NIFTY COMMODITIES,3.072579305763168,3.4160973171138087,4.266666666666663,30005.0,31280.0,30000.0,31030.0,218128,REGIME_SHIFT,INVENTORY_MIGRATION,TRANSITION_REGIME,TRANSITION_REGIME,Expansion,Expansion,8.2,2.1,49.2,57.1,21875.0,-21925.0,-3252.4288392547246,1463.0814375702607,-0.3779719491492076,0.1375583259293387,,
2025-06-27,ASIANPAINT,NIFTY FMCG,3.0089964189011997,3.3158125273762495,3.8382152738131836,2283.0,2364.5,2277.1,2358.7,1555259,REGIME_SHIFT|PINCH_ZONE,INVENTORY_MIGRATION|IV_SKEW_ACCUMULATION,TRANSITION_REGIME,TRANSITION_REGIME,Flip Zone,Expansion,3.2,-19.0,41.5,56.8,146900.0,-460500.0,-639864.1586005056,41187.3085920061,-0.293953855467455,0.10975016939897934,,
