setup_type,alpha_score_bucket,holding_days,trades,avg_return_pct,median_return_pct,total_return_pct,best_return_pct,worst_return_pct,win_rate_pct,stop_rate_pct,expectancy_rank
VOLATILITY_COIL,20-40,15,128,0.972,-1.318,124.359,30.324,-7.2,30.469,66.406,3.349
VOLATILITY_COIL,20-40,10,130,0.627,-1.263,81.5,28.163,-7.2,28.462,64.615,2.034
FLOOR_BOUNCE,00-20,15,39,0.859,-0.759,33.507,16.138,-5.529,33.333,64.103,1.788
FLOOR_BOUNCE,00-20,5,40,0.684,-0.496,27.348,11.692,-3.799,40.0,55.0,1.73
FLOOR_BOUNCE,20-40,5,371,0.22,-0.641,81.731,14.214,-6.476,39.084,42.857,1.658
FLOOR_BOUNCE,20-40,15,363,0.253,-1.2,91.759,22.835,-7.2,30.028,63.636,1.446
FLOOR_BOUNCE,20-40,10,366,0.22,-1.08,80.338,15.981,-7.2,31.421,59.016,1.319
FLOOR_BOUNCE,20-40,3,376,0.137,-0.455,51.684,21.11,-5.62,41.755,34.043,1.113
PINCH_ZONE,20-40,15,118,0.416,-1.486,49.132,30.324,-7.2,22.881,74.576,1.035
PINCH_ZONE,20-40,10,118,0.348,-1.244,41.118,28.163,-7.2,26.271,71.186,0.994
FLOOR_BOUNCE,00-20,10,39,0.472,-0.759,18.421,16.178,-4.007,30.769,61.538,0.908
FLOOR_BOUNCE,60-80,15,204,0.155,-1.132,31.709,21.445,-7.2,33.333,62.255,0.74
FLOOR_BOUNCE,00-20,3,40,0.215,-0.496,8.599,5.768,-4.574,40.0,50.0,0.544
PINCH_ZONE,20-40,3,121,0.118,-0.676,14.238,9.079,-2.77,41.322,46.281,0.535
VOLATILITY_COIL,20-40,5,131,0.114,-0.931,14.949,15.53,-7.2,35.115,56.489,0.459
FLOOR_BOUNCE,40-60,3,569,0.037,-0.448,21.234,13.992,-7.2,42.179,35.501,0.375
IV_SKEW_ACCUMULATION,40-60,15,591,0.04,-1.624,23.733,29.896,-7.2,30.118,62.437,0.294
REGIME_SHIFT,60-80,15,168,0.055,-1.084,9.273,22.597,-7.2,33.333,62.5,0.238
VOLATILITY_COIL,20-40,3,135,0.037,-0.539,4.962,18.133,-7.2,39.259,44.444,0.168
VOLATILITY_COIL,40-60,10,113,0.018,-1.221,2.074,20.553,-7.2,28.319,64.602,0.055
FLOOR_BOUNCE,60-80,10,209,-0.007,-1.089,-1.526,16.411,-7.2,34.45,57.416,-0.036
IV_SKEW_ACCUMULATION,40-60,3,623,-0.004,-0.534,-2.558,13.992,-7.2,41.573,33.226,-0.043
PINCH_ZONE,60-80,10,31,-0.055,-2.092,-1.71,16.054,-3.652,25.806,61.29,-0.079
FLOOR_BOUNCE,60-80,5,215,-0.029,-0.687,-6.256,9.151,-7.2,40.93,46.977,-0.175
VOLATILITY_COIL,40-60,3,113,-0.051,-0.527,-5.816,7.686,-7.2,38.938,40.708,-0.213
VOLATILITY_COIL,40-60,15,110,-0.096,-1.371,-10.556,27.728,-7.2,24.545,69.091,-0.247
PINCH_ZONE,40-60,3,165,-0.071,-0.85,-11.672,9.304,-4.425,35.758,47.879,-0.325
PINCH_ZONE,60-80,15,31,-0.305,-2.408,-9.458,21.445,-3.79,19.355,74.194,-0.329
IV_SKEW_ACCUMULATION,40-60,10,596,-0.044,-1.191,-26.331,26.64,-7.2,34.06,55.369,-0.367
PINCH_ZONE,20-40,5,120,-0.12,-1.049,-14.381,8.984,-5.778,32.5,60.833,-0.427
INVENTORY_MIGRATION,60-80,15,351,-0.101,-1.485,-35.601,22.597,-7.2,32.764,60.684,-0.623
VOLATILITY_COIL,00-20,15,23,-1.512,-1.777,-34.777,10.804,-7.2,8.696,91.304,-0.631
PINCH_ZONE,40-60,5,162,-0.161,-1.038,-26.083,11.038,-7.2,32.716,58.025,-0.67
PINCH_ZONE,60-80,5,32,-0.343,-1.178,-10.978,6.644,-3.652,37.5,53.125,-0.728
VOLATILITY_COIL,00-20,3,24,-0.717,-1.153,-17.202,5.7,-3.576,20.833,50.0,-0.732
PINCH_ZONE,60-80,3,32,-0.329,-0.709,-10.534,9.613,-3.917,40.625,43.75,-0.757
VOLATILITY_COIL,00-20,10,24,-1.882,-1.784,-45.17,5.637,-7.2,8.333,91.667,-0.768
IV_SKEW_ACCUMULATION,60-80,15,185,-0.208,-1.875,-38.559,21.142,-7.2,29.73,64.865,-0.843
FLOOR_BOUNCE,40-60,15,552,-0.137,-1.351,-75.503,30.733,-7.2,27.174,65.942,-0.873
FLOOR_BOUNCE,60-80,3,219,-0.168,-0.526,-36.876,9.613,-7.2,40.639,38.813,-1.013
FLOOR_BOUNCE,40-60,5,562,-0.115,-0.772,-64.699,14.143,-7.2,37.9,45.018,-1.034
VOLATILITY_COIL,00-20,5,24,-1.12,-1.606,-26.888,7.995,-5.947,20.833,66.667,-1.143
