sector,holding_days,trades,avg_return_pct,median_return_pct,total_return_pct,best_return_pct,worst_return_pct,win_rate_pct,stop_rate_pct,expectancy_rank
NIFTY PSU BANK,15,705,1.088,-0.944,767.125,19.037,-7.2,41.844,52.624,12.089
NIFTY PSU BANK,10,705,0.741,-0.515,522.749,17.321,-7.2,46.95,47.234,9.244
NIFTY PVT BANK,15,720,0.462,-0.943,332.906,18.335,-7.2,35.694,58.194,4.428
NIFTY PSU BANK,5,705,0.275,-0.408,194.077,11.239,-7.2,46.809,37.163,3.421
NIFTY PVT BANK,10,741,0.233,-0.823,172.602,14.505,-7.2,38.057,53.036,2.413
NIFTY PSU BANK,3,705,0.125,-0.233,87.802,10.148,-7.2,45.957,30.496,1.52
NIFTY METAL,15,984,0.115,-1.482,112.83,27.728,-7.2,29.573,64.939,1.064
NIFTY PVT BANK,5,770,0.064,-0.6,48.977,12.588,-7.2,42.987,45.195,0.759
NIFTY INFRA,5,1107,0.022,-0.746,23.975,14.372,-7.2,37.669,45.077,0.271
NIFTY INFRA,10,1080,-0.017,-1.159,-18.485,21.426,-7.2,31.481,59.907,-0.177
NIFTY MEDIA & COMM,15,220,-0.043,-1.336,-9.475,17.408,-7.2,29.545,65.909,-0.189
NIFTY INFRA,3,1134,-0.019,-0.562,-21.552,13.17,-7.2,41.358,37.037,-0.265
NIFTY IT,5,393,-0.113,-0.497,-44.305,14.929,-7.2,37.913,38.168,-0.847
NIFTY MEDIA & COMM,10,226,-0.229,-1.174,-51.796,16.411,-7.2,26.549,61.062,-0.915
NIFTY PVT BANK,3,783,-0.082,-0.433,-64.21,9.613,-7.2,40.868,34.355,-0.938
NIFTY FIN SERVICE,15,1361,-0.109,-1.618,-147.755,22.835,-7.2,27.406,67.818,-1.098
NIFTY ENERGY,10,548,-0.173,-1.576,-94.824,30.548,-7.2,27.555,61.314,-1.116
NIFTY INFRA,15,1050,-0.13,-1.376,-136.472,29.896,-7.2,28.286,67.143,-1.191
NIFTY METAL,3,992,-0.094,-0.537,-92.922,13.992,-7.2,41.633,37.198,-1.228
