setup_type,holding_days,trades,avg_return_pct,median_return_pct,total_return_pct,best_return_pct,worst_return_pct,win_rate_pct,stop_rate_pct,expectancy_rank
VOLATILITY_COIL,15,261,0.303,-1.429,79.027,30.324,-7.2,26.054,69.732,1.274
FLOOR_BOUNCE,15,1160,0.082,-1.243,95.05,30.733,-7.2,29.483,64.397,0.823
GAMMA_SQUEEZE,5,10,0.533,-0.989,5.327,7.631,-2.843,40.0,60.0,0.674
VOLATILITY_COIL,10,267,0.144,-1.327,38.404,28.163,-7.2,26.592,67.041,0.625
FLOOR_BOUNCE,3,1206,0.043,-0.471,51.291,21.11,-7.2,41.791,36.07,0.617
FLOOR_BOUNCE,5,1190,0.041,-0.702,49.268,14.214,-7.2,38.992,44.958,0.557
GAMMA_SQUEEZE,10,10,0.446,-1.152,4.462,9.318,-2.843,30.0,70.0,0.423
GAMMA_SQUEEZE,3,10,0.263,-0.989,2.625,6.555,-2.843,40.0,50.0,0.332
FLOOR_BOUNCE,10,1172,0.011,-1.14,13.408,22.438,-7.2,31.57,58.874,0.124
PINCH_ZONE,3,326,-0.038,-0.776,-12.541,9.613,-4.425,37.73,47.239,-0.262
PINCH_ZONE,15,312,-0.088,-1.578,-27.553,30.324,-7.2,20.833,75.962,-0.325
VOLATILITY_COIL,3,272,-0.066,-0.579,-18.056,18.133,-7.2,37.5,43.382,-0.411
GAMMA_SQUEEZE,15,10,-0.725,-1.152,-7.253,3.249,-2.843,20.0,80.0,-0.459
PINCH_ZONE,10,317,-0.138,-1.365,-43.62,28.163,-7.2,23.659,71.293,-0.58
PINCH_ZONE,5,322,-0.149,-1.053,-47.981,11.038,-7.2,33.23,58.696,-0.889
VOLATILITY_COIL,5,268,-0.192,-1.055,-51.564,15.53,-7.2,32.463,56.343,-1.022
REGIME_SHIFT,3,1882,-0.335,-0.722,-630.488,13.992,-7.2,33.634,41.977,-4.888
REGIME_SHIFT,15,1782,-0.512,-1.224,-912.354,27.728,-7.2,24.411,69.416,-5.276
IV_SKEW_ACCUMULATION,15,2961,-0.411,-1.7,-1218.434,34.399,-7.2,27.153,67.106,-6.08
REGIME_SHIFT,10,1815,-0.56,-1.134,-1016.981,27.996,-7.2,25.565,63.526,-6.103
REGIME_SHIFT,5,1859,-0.472,-0.909,-878.068,16.5,-7.2,30.016,51.963,-6.113
IV_SKEW_ACCUMULATION,3,3154,-0.296,-0.677,-932.534,21.11,-7.2,37.54,37.064,-6.233
IV_SKEW_ACCUMULATION,10,3018,-0.389,-1.398,-1173.029,30.548,-7.2,30.186,60.205,-6.445
IV_SKEW_ACCUMULATION,5,3100,-0.379,-0.96,-1175.407,21.414,-7.2,35.194,47.452,-7.43
INVENTORY_MIGRATION,3,3253,-0.359,-0.636,-1169.319,21.11,-7.2,37.412,33.446,-7.67
INVENTORY_MIGRATION,5,3206,-0.4,-0.869,-1282.356,21.946,-7.2,36.026,42.576,-8.159
INVENTORY_MIGRATION,10,3115,-0.471,-1.242,-1466.141,27.996,-7.2,31.236,55.666,-8.205
INVENTORY_MIGRATION,15,3062,-0.521,-1.593,-1594.589,45.074,-7.2,28.478,63.259,-8.206
