symbol,sector,signal_date,entry_date,exit_date,holding_days,setup_type,bias,entry_close,exit_close,raw_exit_close,stop_level,stopped,net_return_pct,gross_return_pct,mfe_pct,mae_pct,alpha_score,ifs_score,conviction_score,priority_score,macro_regime_prob,gamma_regime,structural_bias,suggested_strategy,price_source,trend_pass,trend_ret20_pct,trend_rs20_pct,alpha_score_bucket,macro_regime_bucket,ifs_bucket,rs20_bucket
360ONE,NIFTY FIN SERVICE,2025-10-15,2025-10-16,2025-10-20,3,INVENTORY_MIGRATION,Bullish Breakout,1174.0,1183.3,1183.3,1100.0,False,0.5922,0.7922,1.7717,-2.632,43.22,10.1,21.8,8.34,26.4,TRANSITION_REGIME,Expansion,Bull Call Spread (Debit),cash_ohlc,True,6.351388507011291,6.016788620327529,40-60,macro_25_50,ifs_0_15,rs_5_10
360ONE,NIFTY FIN SERVICE,2025-10-15,2025-10-16,2025-10-23,5,INVENTORY_MIGRATION,Bullish Breakout,1174.0,1178.9,1178.9,1100.0,False,0.2174,0.4174,2.2232,-2.632,43.22,10.1,21.8,8.34,26.4,TRANSITION_REGIME,Expansion,Bull Call Spread (Debit),cash_ohlc,True,6.351388507011291,6.016788620327529,40-60,macro_25_50,ifs_0_15,rs_5_10
360ONE,NIFTY FIN SERVICE,2025-10-15,2025-10-16,2025-10-30,10,INVENTORY_MIGRATION,Bullish Breakout,1174.0,1119.6,1119.6,1100.0,False,-4.8337,-4.6337,2.2232,-5.9455,43.22,10.1,21.8,8.34,26.4,TRANSITION_REGIME,Expansion,Bull Call Spread (Debit),cash_ohlc,True,6.351388507011291,6.016788620327529,40-60,macro_25_50,ifs_0_15,rs_5_10
360ONE,NIFTY FIN SERVICE,2025-10-15,2025-10-16,2025-10-31,15,INVENTORY_MIGRATION,Bullish Breakout,1174.0,1100.0,1080.7,1100.0,True,-6.5032,-6.3032,2.2232,-10.3578,43.22,10.1,21.8,8.34,26.4,TRANSITION_REGIME,Expansion,Bull Call Spread (Debit),cash_ohlc,True,6.351388507011291,6.016788620327529,40-60,macro_25_50,ifs_0_15,rs_5_10
360ONE,NIFTY FIN SERVICE,2025-10-16,2025-10-17,2025-10-21,3,IV_SKEW_ACCUMULATION,Bullish Breakout,1172.5,1175.4,1175.4,1136.5005,False,0.0473,0.2473,2.3539,-2.5075,27.19,-4.4,22.6,24.1,26.3,TRANSITION_REGIME,Dealer Controlled,Bull Call Spread (Debit),cash_ohlc,True,6.237533998186762,5.230635132206363,20-40,macro_25_50,ifs_le_0,rs_5_10
360ONE,NIFTY FIN SERVICE,2025-10-16,2025-10-17,2025-10-24,5,IV_SKEW_ACCUMULATION,Bullish Breakout,1172.5,1185.7,1185.7,1136.5005,False,0.9258,1.1258,2.3539,-2.5075,27.19,-4.4,22.6,24.1,26.3,TRANSITION_REGIME,Dealer Controlled,Bull Call Spread (Debit),cash_ohlc,True,6.237533998186762,5.230635132206363,20-40,macro_25_50,ifs_le_0,rs_5_10
360ONE,NIFTY FIN SERVICE,2025-10-16,2025-10-17,2025-10-29,10,IV_SKEW_ACCUMULATION,Bullish Breakout,1172.5,1136.5005,1126.7,1136.5005,True,-3.2703,-3.0703,2.3539,-8.4009,27.19,-4.4,22.6,24.1,26.3,TRANSITION_REGIME,Dealer Controlled,Bull Call Spread (Debit),cash_ohlc,True,6.237533998186762,5.230635132206363,20-40,macro_25_50,ifs_le_0,rs_5_10
360ONE,NIFTY FIN SERVICE,2025-10-16,2025-10-17,2025-10-29,15,IV_SKEW_ACCUMULATION,Bullish Breakout,1172.5,1136.5005,1126.7,1136.5005,True,-3.2703,-3.0703,2.3539,-10.2431,27.19,-4.4,22.6,24.1,26.3,TRANSITION_REGIME,Dealer Controlled,Bull Call Spread (Debit),cash_ohlc,True,6.237533998186762,5.230635132206363,20-40,macro_25_50,ifs_le_0,rs_5_10
360ONE,NIFTY FIN SERVICE,2025-10-17,2025-10-20,2025-10-23,3,INVENTORY_MIGRATION,Bullish Accumulation,1165.0,1178.9,1178.9,1100.0,False,0.9931,1.1931,3.0129,-1.8369,22.77,-15.3,27.7,56.94,26.4,TRANSITION_REGIME,Expansion,Bull Put Spread (Credit),cash_ohlc,True,5.698212503402611,4.572290132062595,20-40,macro_25_50,ifs_le_0,rs_0_5
360ONE,NIFTY FIN SERVICE,2025-10-17,2025-10-20,2025-10-27,5,INVENTORY_MIGRATION,Bullish Accumulation,1165.0,1173.0,1173.0,1100.0,False,0.4867,0.6867,3.0129,-1.8369,22.77,-15.3,27.7,56.94,26.4,TRANSITION_REGIME,Expansion,Bull Put Spread (Credit),cash_ohlc,True,5.698212503402611,4.572290132062595,20-40,macro_25_50,ifs_le_0,rs_0_5
