symbol,holding_days,trades,avg_return_pct,median_return_pct,total_return_pct,best_return_pct,worst_return_pct,win_rate_pct,stop_rate_pct,expectancy_rank
SHRIRAMFIN,15,119,3.535,0.105,420.649,22.486,-7.2,51.261,46.218,19.766
SHRIRAMFIN,10,119,3.273,-0.509,389.516,17.201,-7.2,46.218,42.017,16.503
SAMMAANCAP,15,60,4.486,-1.115,269.15,22.835,-7.2,46.667,53.333,16.215
ADANIPOWER,15,36,6.181,-1.201,222.504,34.399,-7.2,41.667,50.0,15.452
ADANIENT,15,29,4.87,3.229,141.237,19.748,-2.583,58.621,27.586,15.374
ADANIPOWER,10,36,5.56,-2.014,200.167,28.163,-7.2,41.667,50.0,13.9
AUBANK,15,78,2.709,1.653,211.306,14.562,-3.615,55.128,42.308,13.19
ASHOKLEY,15,98,2.625,-0.869,257.251,17.237,-7.2,48.98,48.98,12.728
OFSS,5,36,2.846,2.314,102.451,14.929,-5.968,69.444,25.0,11.858
POWERINDIA,10,72,2.695,0.009,194.047,21.426,-7.2,51.389,45.833,11.752
SAMMAANCAP,10,63,3.29,-0.857,207.257,19.343,-7.2,44.444,41.27,11.605
LTF,15,105,2.324,-0.429,244.054,14.366,-6.156,47.619,48.571,11.342
INDIANB,15,96,2.264,-0.371,217.372,12.278,-7.2,50.0,47.917,11.093
NATIONALUM,15,172,2.306,-1.663,396.557,27.728,-7.2,34.884,62.209,10.548
SBIN,10,141,1.386,1.349,195.479,17.321,-4.335,58.156,38.298,9.574
MCX,10,79,2.132,-0.562,168.447,14.93,-6.916,49.367,50.633,9.356
ADANIGREEN,15,33,2.745,0.253,90.6,22.987,-7.2,57.576,42.424,9.08
MCX,15,79,2.302,-0.562,181.854,21.272,-6.916,43.038,54.43,8.806
AUBANK,10,78,1.864,0.914,145.418,14.505,-3.615,52.564,42.308,8.655
LAURUSLABS,10,112,1.652,-0.121,185.044,14.303,-4.168,49.107,32.143,8.586
SBIN,15,141,1.427,0.802,201.201,19.037,-4.851,50.355,46.809,8.532
ADANIENT,10,35,2.798,0.515,97.936,13.078,-4.1,51.429,34.286,8.514
VEDL,15,120,1.787,-0.687,214.465,14.344,-7.2,43.333,56.667,8.484
ADANIPOWER,5,36,2.71,-0.192,97.545,17.001,-5.289,50.0,47.222,8.129
BSE,15,63,2.731,-1.363,172.03,22.345,-7.2,36.508,58.73,7.913
BANKBARODA,15,82,1.654,0.77,135.656,9.109,-3.697,52.439,36.585,7.856
LTF,10,105,1.581,-0.429,166.012,13.935,-6.156,47.619,48.571,7.715
MCX,5,79,1.559,0.737,123.125,16.31,-6.916,54.43,36.709,7.54
SAMMAANCAP,5,65,1.78,0.827,115.71,21.414,-7.2,52.308,32.308,7.507
POWERINDIA,5,72,1.841,-0.256,132.554,9.886,-7.2,47.222,36.111,7.377
BHEL,15,98,2.406,-1.7,235.746,29.896,-7.2,30.612,69.388,7.29
LAURUSLABS,15,107,1.525,-0.274,163.137,16.036,-7.2,45.794,46.729,7.222
CANBK,15,102,1.61,-0.657,164.18,15.27,-7.2,44.118,47.059,7.172
OFSS,3,36,1.695,1.765,61.021,8.303,-3.711,69.444,22.222,7.063
INDIANB,10,96,1.31,1.288,125.766,13.12,-7.2,54.167,43.75,6.953
SHRIRAMFIN,5,119,1.274,-0.235,151.657,11.692,-7.2,47.899,38.655,6.659
INDIANB,3,96,1.101,0.829,105.716,5.376,-7.2,61.458,15.625,6.631
POWERINDIA,3,75,1.303,0.156,97.688,10.372,-7.2,57.333,34.667,6.467
BANKBARODA,10,82,1.221,1.013,100.098,9.356,-3.697,57.317,36.585,6.336
FEDERALBNK,15,161,1.055,-0.857,169.858,14.154,-7.2,44.72,55.28,5.987
ADANIPOWER,3,38,1.522,0.871,57.831,8.947,-5.289,63.158,26.316,5.925
ASHOKLEY,10,98,1.241,-0.661,121.636,11.08,-7.2,47.959,46.939,5.893
YESBANK,15,60,1.712,-0.292,102.706,13.706,-6.072,43.333,48.333,5.746
INDIANB,5,96,0.899,1.342,86.349,7.521,-7.2,64.583,29.167,5.692
CGPOWER,15,59,1.614,-1.403,95.238,16.265,-7.2,44.068,54.237,5.464
UNIONBANK,10,95,1.151,-0.02,109.316,12.098,-7.2,48.421,41.053,5.431
LAURUSLABS,5,119,0.915,0.368,108.866,8.88,-4.168,53.782,35.294,5.367
UNIONBANK,15,95,1.271,-0.97,120.736,14.834,-7.2,43.158,50.526,5.346
AUBANK,5,78,1.105,0.32,86.168,12.588,-3.615,53.846,34.615,5.254
ASHOKLEY,3,98,0.897,0.422,87.908,10.285,-3.546,57.143,22.449,5.074
ADANIENSOL,10,81,1.442,-2.19,116.815,30.548,-7.2,38.272,48.148,4.967
FEDERALBNK,10,168,0.748,-0.13,125.604,12.265,-7.2,48.81,50.0,4.73
BSE,10,63,1.316,-1.33,82.931,18.617,-7.2,42.857,57.143,4.478
LTIM,15,64,1.119,0.088,71.608,8.406,-4.131,50.0,43.75,4.476
NATIONALUM,10,175,0.845,-1.286,147.929,20.553,-7.2,40.0,56.0,4.473
POWERINDIA,15,70,1.334,-1.143,93.38,28.443,-7.2,40.0,58.571,4.464
PREMIERENE,15,29,1.806,-2.303,52.367,18.901,-7.2,44.828,51.724,4.359
ZYDUSLIFE,10,41,1.326,0.082,54.362,11.969,-4.962,51.22,43.902,4.348
BSE,5,63,1.148,-0.154,72.346,11.446,-7.2,47.619,44.444,4.34
OFSS,10,36,1.723,-1.372,62.035,20.467,-7.2,41.667,47.222,4.308
SAMMAANCAP,3,66,1.212,-0.766,79.96,21.11,-7.2,42.424,30.303,4.176
CANBK,10,102,0.914,-0.646,93.252,11.002,-7.2,45.098,45.098,4.164
SHRIRAMFIN,3,119,0.701,0.518,83.386,10.019,-3.263,53.782,27.731,4.111
ADANIGREEN,10,36,1.539,-0.978,55.395,14.376,-7.2,44.444,36.111,4.103
SOLARINDS,15,34,1.708,-0.844,58.064,17.664,-6.538,41.176,52.941,4.1
LAURUSLABS,3,119,0.613,0.498,72.962,6.37,-4.574,59.664,30.252,3.991
PIDILITIND,10,20,1.481,0.971,29.624,6.993,-2.288,60.0,40.0,3.974
