setup_type,rs20_bucket,holding_days,trades,avg_return_pct,median_return_pct,total_return_pct,best_return_pct,worst_return_pct,win_rate_pct,stop_rate_pct,expectancy_rank
VOLATILITY_COIL,rs_gt_10,15,97,1.221,-1.412,118.398,30.324,-7.2,30.928,67.01,3.718
VOLATILITY_COIL,rs_gt_10,10,98,1.099,-1.272,107.711,28.163,-7.2,31.633,62.245,3.442
PINCH_ZONE,rs_0_5,5,110,0.502,-0.674,55.22,11.038,-3.73,40.0,52.727,2.106
VOLATILITY_COIL,rs_gt_10,3,98,0.431,-0.502,42.251,18.133,-7.2,41.837,41.837,1.786
VOLATILITY_COIL,rs_gt_10,5,98,0.43,-0.867,42.17,15.53,-7.2,37.755,55.102,1.608
FLOOR_BOUNCE,rs_0_5,5,463,0.173,-0.557,79.967,11.692,-7.2,41.253,42.117,1.533
FLOOR_BOUNCE,rs_5_10,3,409,0.163,-0.427,66.725,10.285,-7.2,43.032,36.186,1.42
FLOOR_BOUNCE,rs_5_10,10,396,0.2,-0.994,79.316,16.066,-7.2,34.596,56.818,1.379
FLOOR_BOUNCE,rs_5_10,5,402,0.146,-0.615,58.718,10.665,-7.2,41.294,44.03,1.209
FLOOR_BOUNCE,rs_5_10,15,387,0.197,-1.201,76.17,18.921,-7.2,30.749,61.757,1.191
PINCH_ZONE,rs_0_5,3,110,0.183,-0.589,20.141,6.111,-3.615,41.818,43.636,0.803
PINCH_ZONE,rs_0_5,15,107,0.232,-1.2,24.794,11.713,-7.2,26.168,71.963,0.627
PINCH_ZONE,rs_0_5,10,108,0.208,-1.133,22.424,11.884,-7.2,28.704,67.593,0.619
PINCH_ZONE,rs_5_10,3,109,0.137,-0.857,14.955,9.613,-3.917,39.45,44.954,0.565
FLOOR_BOUNCE,rs_gt_10,15,318,0.115,-1.658,36.627,30.733,-7.2,27.358,66.667,0.562
PINCH_ZONE,rs_5_10,5,105,0.005,-0.886,0.513,7.41,-5.778,38.095,51.429,0.019
FLOOR_BOUNCE,rs_0_5,3,468,-0.008,-0.476,-3.602,10.088,-5.038,41.667,35.897,-0.069
